Best genes by generation:
Generation 22, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 23, Fitness 181: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLLRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRRLURULDUURRURRDRDURDLUULRDUUDRDDRLRRDUURRRDDRDDDLDRRDLRDRRLRLURRDLDLDRDLLDULDDDUUDULLRLLRRLLURDDLRRRDRLLRULURDURRDLDRLURRLURULRRDDUULDUUUDDR
Generation 24, Fitness 181: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLLRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRRLURULDUURRURRDRDURDLUULRDUUDRDDRLRRDUURRRDDRDDDLDRRDLRDRRLRLURRDLDLDRDLLDULDDDUUDULLRLLRRLLURDDLRRRDRLLRULURDURRDLDRLURRLURULRRDDUULDUUUDDR
Generation 25, Fitness 183: LLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRRULDRUDDUUURDDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDLLDDLDRDDUURUUDRLDLDUDRLUULUDLUDDLLLDULRUULLDLRURUDRRURULDDLRRLLULLURLDLLRUULLDLUDLRRDDURUUDUDLDLRLRUUUUUDRLURRRRRUULURRRRDLLUUUDLRRDRUDULRLDLRUDRLLRURLLULLLDULDDDUUDLURRULURDDURUDRUURULDRRURUDDUUUUUDRLDRDLLUUDUUDDRUUDURLLRL
Generation 26, Fitness 192: LLULLDRLUULLULLDUDDDDRLLLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRULDDULDULDDRDRRURDRRRUUUULLULLDDLDDLRDLLLUUDDDLURDDRRRLUDURRRULRURRUDLLLUDDLLLUDDLDRRRLDRRLRRLUUDDDRDLLRLLLDUURLDUDLRRRURULRLRURRLDUURUDLDURUUDLRRLDDLDURRULLDRRLUDUUUDDUUDLRURDDDULUURLRLRUURUULRRDURUURDDLLDLDDUURDLLUULRLLLDUDRUDUUDDDRDRDULLRDDRUDURRDRLRUDDUURURLLUUDRLRRURLRLDRURLUDLUUDUUDRDRRRDDRLRULURDURRDUDRLRLLDLULRRLDRUUUUDRURLL
Generation 27, Fitness 192: LLULLDRLUULLULLDUDDDDRLLLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRULDDULDULDDRDRRURDRRRUUUULLULLDDLDDLRDLLLUUDDDLURDDRRRLUDURRRULRURRUDLLLUDDLLLUDDLDRRRLDRRLRRLUUDDDRDLLRLLLDUURLDUDLRRRURULRLRURRLDUURUDLDURUUDLRRLDDLDURRULLDRRLUDUUUDDUUDLRURDDDULUURLRLRUURUULRRDURUURDDLLDLDDUURDLLUULRLLLDUDRUDUUDDDRDRDULLRDDRUDURRDRLRUDDUURURLLUUDRLRRURLRLDRURLUDLUUDUUDRDRRRDDRLRULURDURRDUDRLRLLDLULRRLDRUUUUDRURLL
Generation 28, Fitness 192: LLULLDRLUULLULLDUDDDDRLLLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRULDDULDULDDRDRRURDRRRUUUULLULLDDLDDLRDLLLUUDDDLURDDRRRLUDURRRULRURRUDLLLUDDLLLUDDLDRRRLDRRLRRLUUDDDRDLLRLLLDUURLDUDLRRRURULRLRURRLDUURUDLDURUUDLRRLDDLDURRULLDRRLUDUUUDDUUDLRURDDDULUURLRLRUURUULRRDURUURDDLLDLDDUURDLLUULRLLLDUDRUDUUDDDRDRDULLRDDRUDURRDRLRUDDUURURLLUUDRLRRURLRLDRURLUDLUUDUUDRDRRRDDRLRULURDURRDUDRLRLLDLULRRLDRUUUUDRURLL
Generation 29, Fitness 192: LLULLDRLUULLULLDUDDDDRLLLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRULDDULDULDDRDRRURDRRRUUUULLULLDDLDDLRDLLLUUDDDLURDDRRRLUDURRRULRURRUDLLLUDDLLLUDDLDRRRLDRRLRRLUUDDDRDLLRLLLDUURLDUDLRRRURULRLRURRLDUURUDLDURUUDLRRLDDLDURRULLDRRLUDUUUDDUUDLRURDDDULUURLRLRUURUULRRDURUURDDLLDLDDUURDLLUULRLLLDUDRUDUUDDDRDRDULLRDDRUDURRDRLRUDDUURURLLUUDRLRRURLRLDRURLUDLUUDUUDRDRRRDDRLRULURDURRDUDRLRLLDLULRRLDRUUUUDRURLL
Generation 30, Fitness 192: LLULLDRLUULLULLDUDDDDRLLLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRULDDULDULDDRDRRURDRRRUUUULLULLDDLDDLRDLLLUUDDDLURDDRRRLUDURRRULRURRUDLLLUDDLLLUDDLDRRRLDRRLRRLUUDDDRDLLRLLLDUURLDUDLRRRURULRLRURRLDUURUDLDURUUDLRRLDDLDURRULLDRRLUDUUUDDUUDLRURDDDULUURLRLRUURUULRRDURUURDDLLDLDDUURDLLUULRLLLDUDRUDUUDDDRDRDULLRDDRUDURRDRLRUDDUURURLLUUDRLRRURLRLDRURLUDLUUDUUDRDRRRDDRLRULURDURRDUDRLRLLDLULRRLDRUUUUDRURLL
Generation 31, Fitness 192: LLULLDRLUULLULLDUDDDDRLLLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRULDDULDULDDRDRRURDRRRUUUULLULLDDLDDLRDLLLUUDDDLURDDRRRLUDURRRULRURRUDLLLUDDLLLUDDLDRRRLDRRLRRLUUDDDRDLLRLLLDUURLDUDLRRRURULRLRURRLDUURUDLDURUUDLRRLDDLDURRULLDRRLUDUUUDDUUDLRURDDDULUURLRLRUURUULRRDURUURDDLLDLDDUURDLLUULRLLLDUDRUDUUDDDRDRDULLRDDRUDURRDRLRUDDUURURLLUUDRLRRURLRLDRURLUDLUUDUUDRDRRRDDRLRULURDURRDUDRLRLLDLULRRLDRUUUUDRURLL
